Category,Subcategory,subcategory_description_de
krankheit,rente_volle_erwerbsminderung_SGBVI,Rente wegen voller Erwerbsminderung (gesetzliche Rentenversicherung)
finanziell,witwenrente_SGBVI,Witwenrente und Witwerrente (gesetzliche Rentenversicherung)
rente,witwenrente_SGBVI,Witwenrente und Witwerrente (gesetzliche Rentenversicherung)
finanziell,erziehungsrente_SGBVI,Erziehungsrente (gesetzliche Rentenversicherung)
rente,erziehungsrente_SGBVI,Erziehungsrente (gesetzliche Rentenversicherung)
finanziell,waisenrente_SGBVI,Waisenrente (gesetzliche Rentenversicherung)
rente,waisenrente_SGBVI,Waisenrente (gesetzliche Rentenversicherung)
kinder_familie,notbetreuung_SGBVIII,Betreuung und Versorgung eines Kindes in Notsituationen
kinder_familie,schulpflicht_SGBVIII,Unterbringung zur Erfüllung der Schulpflicht
kinder_familie,kitaplatz_SGBVIII,Kindertageseinrichtung (Kita) oder Kindertagespflege
kinder_familie,hze_SGBVIII,Hilfe zur Erziehung
kinder_familie,eingliederungshilfe_SGBVIII,Eingliederungshilfe für Kinder und Jugendliche mit seelischer Behinderung
behinderung,eingliederungshilfe_SGBVIII,Eingliederungshilfe für Kinder und Jugendliche mit seelischer Behinderung
kinder_familie,unterhaltsleistungen_SGBVIII,Leistungen zum Unterhalt des Kindes oder des Jugendlichen
behinderung,unterhaltsleistungen_SGBVIII,Leistungen zum Unterhalt des Kindes oder des Jugendlichen
kinder_familie,krankenhilfe_SGBVIII,Krankenhilfe
kinder_familie,hjv_SGBVIII,Hilfe für junge Volljährige
kinder_familie,nachbetreuung_SGBVIII,Nachbetreuung im Anschluss an Hilfe für junge Volljährige
behinderung,eingliederungshilfe_SGBIX,"Eingliederungshilfe für Menschen mit körperlichen, geistigen oder Sinnesbeeinträchtigungen"
behinderung,feststellung_behinderung_SGBIX,"Feststellung der Behinderung (Grad der Behinderung, Merkzeichen)"
pflege,pflegesachleistung_SGBXI,Häusliche Pflegehilfe
pflege,pflegegeld_SGBXI,Pflegegeld
pflege,verhinderungspflege_SGBXI,Kostenerstattung bei Ersatzpflege (Verhinderungspflege)
pflege,ergänzende_digitale_pflegeanwendungen_SGBXI,Ergänzende Unterstützung bei Nutzung digitaler Pflegeanwendungen
pflege,pflegehilfsmittel_SGBXI,Pflegehilfsmittel und wohnumfeldverbessernde Maßnahmen
pflege,versorgung_digitale_pflegeanwendung_SGBXI,Versorgung mit einer digitalen Pflegeanwendung
pflege,tages_nachtpflege_SGBXI,Tagespflege und Nachtpflege
pflege,kurzzeitpflege_SGBXI,Kurzzeitpflege
pflege,rehaeinrichtungen_pflegebedürftige_SGBXI,Versorgung Pflegebedürftiger bei Vorsorge- oder Rehabilitationsleistungen der Pflegeperson
pflege,vollstationaere_pflege_SGBXI,Vollstationäre Pflege
pflege,soziale_sicherung_pflegeperson_SGBXI,Soziale Sicherung der Pflegeperson (Beiträge zu den Sozialversicherungen)
pflege,zusaetzliche_leistungen_SGBXI,Zusätzliche Leistungen für Pflegepersonen bei Pflegezeit und kurzzeitiger Arbeitsverhinderung
pflege,pflegekurse_SGBXI,Pflegekurse für Angehörige und ehrenamtliche Pflegepersonen
pflege,kostenerstattung_alltagsunterstuetzung_SGBXI,Kostenerstattung für Angebote zur Unterstützung im Alltag
pflege,entlastungsbetrag_SGBXI,Entlastungsbetrag
pflege,zusatzleistung_ambulante_wohngruppen_SGBXI,Pauschaler Zuschlag für Pflegebedürftige in ambulant betreuten Wohngruppen
pflege,zuschuss_gemeinsch_wohnform_SGBXI,Pauschaler Zuschuss bei Pflege in gemeinschaftlichen Wohnformen mit Versorgungsverträgen
krankheit,krankenbehandlung_SGBXIV,Krankenbehandlung (Soziale Entschädigung)
entschaedigung,krankenbehandlung_SGBXIV,Krankenbehandlung (Soziale Entschädigung)
wohnen,wohngeld,Wohngeld
finanziell,wohngeld,Wohngeld
bildung,bafoeg,BAföG
finanziell,bafoeg,BAföG
kinder_familie,mutterschaftsgeld_muschg,Mutterschaftsgeld des Bundesamts für Soziale Sicherung (ohne gesetzliche Krankenversicherung)
kinder_familie,elterngeld_beeg,Elterngeld
kinder_familie,kindergeld_bkgg,Kindergeld der Familienkasse (nicht steuerliches Kindergeld)
kinder_familie,kinderzuschlag_bkgg,Kinderzuschlag der Familienkasse für einkommensschwache Eltern
